,Absorption Coefficient Listing,,Absorption Coefficients,,,,,,
Surface Type,Code,Description,125 Hz,250 Hz,500 Hz,1k Hz,2k Hz,4k Hz,
Walls,131,Walls - Edenhall Noisemaster Grey / painted,0.72,0.64,0.32,0.23,0.28,,
Walls,132,Walls - Acoustic plaster on solid,0.15,0.2,0.25,0.3,0.35,,
Walls,133,Walls - 12mm ply on 50 a/s + m/wool,0.2,0.15,0.1,0.1,0.1,,
Walls,134,Walls - 9mm p/b each side of 50 studs,0.15,0.1,0.05,0.04,0.05,,
Walls,135,Walls - 9mm p/b on 25 a/s on solid,0.15,0.1,0.05,0.04,0.05,,
Walls,136,Walls - 9mm p/b on 25 a/s + m/wool on solid,0.2,0.15,0.1,0.1,0.08,,
Walls,137,Walls - 25mm m/wool on solid,0.35,0.7,0.85,0.9,0.9,,
Walls,138,Walls - 50mm m/wool on solid,0.45,0.7,0.85,0.9,0.9,,
Walls,139,Walls - 75mm m/wool on solid,0.5,0.75,0.85,0.9,0.9,,
Walls,140,Walls - 50mm m/wool on 50 a/s on solid,0.75,0.85,0.9,0.9,0.9,,
Walls,141,Walls - 100mm m/wool on solid,0.92,1,1,1,1,,
Walls,142,Walls - 150mm m/wool on solid,0.9,1,1,1,1,,
Walls,143,Walls - 100mm m/wool on 100mm a/s on solid,0.95,1,1,1,1,,
Walls,144,Walls - 50mm m/wool + 10% perf h/board,0.4,0.8,0.8,0.75,0.4,,
Walls,145,Walls - Lignacoust (R.Graefe Ltd.),0.65,0.95,0.65,0.6,0.5,,
Walls,146,Walls - Profillia A (Venables),0.35,0.8,0.4,0.25,0.35,,
Walls,147,Walls - Profillia B (Venables),0.5,0.65,0.35,0.2,0.35,,
Walls,148,Walls - Steeltone (Venables),0.34,0.88,0.7,0.5,0.57,,
Walls,149,Walls - Silvatone (Venables),0.25,0.2,0.15,0.15,0.15,,
Walls,150,Walls - Woodacoustic C (Venables),0.72,0.54,0.42,0.63,0.51,,
Walls,151,Walls - Woodacoustic B (Venables),0.33,0.31,0.32,0.57,0.36,,
Walls,152,Walls - Woodacoustic A (Venables),0.35,0.4,0.6,0.85,0.55,,
Walls,153,Walls - Woodacoustic D (Venables),0.2,0.23,0.53,0.99,0.65,,
Walls,154,Walls - Woodacoustic E (Venables),0.07,0.05,0.01,0.06,0.06,,
Walls,155,Walls - Tonewood (Venables),0.35,0.8,0.7,0.55,0.55,,
Walls,156,Walls - Leather panel on 50mm m/wool on solid,0.25,0.15,0.1,0.1,0.1,,
Walls,157,Walls - Audex G acoustic plaster,0.35,0.4,0.55,0.7,0.7,,
Walls,158,Walls - 3mm perf h/board,0.45,0.65,0.8,0.9,0.85,,
Walls,159,Walls - 25mm timber boards on a/s + m/wool,0.2,0.1,0.1,0.1,0.08,,
Walls,160,Walls - 19mm timber boards on a/s + m/wool,0.2,0.1,0.1,0.1,0.08,,
Walls,161,Walls - Blockwork painted,0.2,0.3,0.3,0.25,0.2,,
Walls,162,Walls - Metal cladding (plain) on a/s,0.1,0.08,0.05,0.05,0.05,,
Walls,163,Walls - 6mm ply on 50 a/s + m/wool,0.15,0.1,0.08,0.05,0.05,,
Walls,164,Walls - Ecowood acoustic panel,0.2,0.4,0.35,0.2,0.15,,
Walls,165,Walls - 30mm Fabritrack,0.4,0.75,0.85,0.9,0.85,,
Walls,166,Walls - Lamaphon lining (foam),0.6,0.95,0.95,0.95,0.9,,
Walls,167,Walls - Soundsorba Decor Hanging Baffle,0.45,0.95,0.95,0.95,0.95,,
MASONRY WALLS,168,MASONRY WALLS - Rough concrete,0.03,0.03,0.03,0.04,0.07,,
MASONRY WALLS,169,MASONRY WALLS - Smooth unpainted concrete,0.01,0.02,0.02,0.02,0.05,,
MASONRY WALLS,170,"MASONRY WALLS - Smooth concrete, painted or glazed",0.01,0.01,0.02,0.02,0.02,,
MASONRY WALLS,171,MASONRY WALLS - Porous concrete blocks  (no surface finish),0.05,0.05,0.08,0.14,0.2,,
MASONRY WALLS,172,MASONRY WALLS - Clinker concrete  (no surface finish),0.2,0.4,0.6,0.5,0.6,,
MASONRY WALLS,173,MASONRY WALLS - Smooth brickwork with flush pointing,0.03,0.03,0.04,0.05,0.07,,
MASONRY WALLS,174,"MASONRY WALLS - Smooth brickwork with flush pointing, painted",0.01,0.02,0.02,0.02,0.02,,
MASONRY WALLS,175,MASONRY WALLS - Standard brickwork,0.04,0.02,0.04,0.05,0.05,,
MASONRY WALLS,176,"MASONRY WALLS - Brickwork, 10mm flush pointing",0.09,0.12,0.16,0.22,0.24,,
MASONRY WALLS,177,MASONRY WALLS - Lime cement plaster on masonry wall,0.02,0.03,0.04,0.05,0.05,,
MASONRY WALLS,178,MASONRY WALLS - Glaze plaster on masonry wall,0.01,0.01,0.02,0.02,0.02,,
MASONRY WALLS,179,MASONRY WALLS - Painted plaster surface on masonry wall,0.02,0.02,0.02,0.02,0.02,,
MASONRY WALLS,180,MASONRY WALLS - Plaster on masonry wall with wall paper on backing paper,0.03,0.04,0.05,0.07,0.08,,
MASONRY WALLS,181,MASONRY WALLS - Ceramic tiles with smooth surface,0.01,0.01,0.02,0.02,0.02,,
MASONRY WALLS,182,MASONRY WALLS - Breeze block,0.45,0.6,0.4,0.45,0.4,,
MASONRY WALLS,183,MASONRY WALLS - Plaster on solid wall,0.05,0.06,0.08,0.04,0.06,,
MASONRY WALLS,184,"MASONRY WALLS - Plaster, lime or gypsum on solid backing",0.03,0.02,0.03,0.04,0.05,,
STUDWORK AND LIGHTWEIGHT WALLS,,STUDWORK AND LIGHTWEIGHT WALLS - STUDWORK AND LIGHTWEIGHT WALLS,,,,,,,
STUDWORK AND LIGHTWEIGHT WALLS,185,"STUDWORK AND LIGHTWEIGHT WALLS - Plasterboard on battens, 18mm airspace with glass wool",0.2,0.15,0.05,0.05,0.05,,
STUDWORK AND LIGHTWEIGHT WALLS,186,"STUDWORK AND LIGHTWEIGHT WALLS - Plasterboard on frame, 100mm airspace",0.12,0.08,0.06,0.06,0.05,,
STUDWORK AND LIGHTWEIGHT WALLS,187,"STUDWORK AND LIGHTWEIGHT WALLS - Plasterboard on frame, 100mm airspace with glass wool",0.11,0.05,0.03,0.02,0.03,,
STUDWORK AND LIGHTWEIGHT WALLS,188,STUDWORK AND LIGHTWEIGHT WALLS - Plasterboard on 50mm battens,0.1,0.05,0.04,0.07,0.09,,
STUDWORK AND LIGHTWEIGHT WALLS,189,STUDWORK AND LIGHTWEIGHT WALLS - Plasterboard on 25mm battens,0.33,0.14,0.1,0.1,0.12,,
STUDWORK AND LIGHTWEIGHT WALLS,190,"STUDWORK AND LIGHTWEIGHT WALLS - 2 x plasterboard on frame, 50mm airspace with mineral wool",0.1,0.06,0.04,0.04,0.05,,
STUDWORK AND LIGHTWEIGHT WALLS,191,STUDWORK AND LIGHTWEIGHT WALLS - Plasterboard on cellular core partition,0,0.07,0,0.04,0.05,,
STUDWORK AND LIGHTWEIGHT WALLS,192,STUDWORK AND LIGHTWEIGHT WALLS - Plasterboard on frame 100mm cavity,0.11,0.05,0.03,0.02,0.03,,
STUDWORK AND LIGHTWEIGHT WALLS,193,"STUDWORK AND LIGHTWEIGHT WALLS - Plasterboard on frame, 100mm cavity with mineral wool",0.12,0.08,0.06,0.06,0.05,,
STUDWORK AND LIGHTWEIGHT WALLS,194,"STUDWORK AND LIGHTWEIGHT WALLS - 2 x 13mm plasterboard on steel frame, 50mm mineral wool in cavity, surface painted",0.01,0.06,0.04,0.04,0.05,,
GLASS AND GLAZING,195,GLASS AND GLAZING - 4mm glass,0.2,0.1,0.07,0.05,0.02,,
GLASS AND GLAZING,196,GLASS AND GLAZING - 6mm glass,0.06,0.04,0.03,0.02,0.02,,
GLASS AND GLAZING,197,"GLASS AND GLAZING - Double glazing, 2-3mm glass, 10mm air gap",0.05,0.03,0.03,0.02,0.02,,
WOOD AND WOOD PANELLING,198,"WOOD AND WOOD PANELLING - 3-4mm plywood, 75mm cavity containing mineral wool",0.3,0.1,0.05,0.05,0.05,,
WOOD AND WOOD PANELLING,199,"WOOD AND WOOD PANELLING - 5mm plywood on battens, 50mm airspace filled with glass wool",0.35,0.2,0.15,0.05,0.05,,
WOOD AND WOOD PANELLING,200,WOOD AND WOOD PANELLING - 12mm plywood over 50mm airgap,0.05,0.04,0.03,0.03,0.02,,
WOOD AND WOOD PANELLING,201,WOOD AND WOOD PANELLING - 12mm plywood over 150mm airgap,0.08,0.07,0.07,0.09,0.09,,
WOOD AND WOOD PANELLING,202,WOOD AND WOOD PANELLING - 12mm plywood over 200mm airgap containing 50mm mineral wool,0.1,0.1,0.08,0.1,0.08,,
WOOD AND WOOD PANELLING,203,WOOD AND WOOD PANELLING - Plywood mounted solidly,,0.05,,0.05,0.05,,
WOOD AND WOOD PANELLING,204,WOOD AND WOOD PANELLING - 12mm plywood in framework with 30mm airspace behind,0.2,0.15,0.1,0.05,0.05,,
WOOD AND WOOD PANELLING,205,WOOD AND WOOD PANELLING - 12mm plywood in framework with 30mm airspace containing glass wool,0.2,0.15,0.1,0.1,0.05,,
WOOD AND WOOD PANELLING,206,"WOOD AND WOOD PANELLING - Plywood, hardwood panels over 25mm airspace on solid backing",0.2,0.15,0.1,0.1,0.05,,
